Acinetobacter infections,"Acinetobacter species are innately resistant to many classes of antibiotics, including penicillin, chloramphenicol, and often aminoglycosides. Resistance to fluoroquinolones has been reported during therapy, which has also resulted in increased resistance to other drug classes mediated through active drug efflux. A dramatic increase in antibiotic resistance in Acinetobacter strains has been reported by the Centers for Disease Control and Prevention (CDC), and the carbapenems are recognised as the gold-standard and treatment of last resort. Acinetobacter species are unusual in that they are sensitive to sulbactam, which is commonly used to inhibit bacterial beta-lactamase, but this is an example of the antibacterial property of sulbactam itself."
Actinomycosis,"Actinomyces bacteria are generally sensitive to penicillin, which is frequently used to treat actinomycosis. In cases of penicillin allergy, doxycyclin is used. Sulfonamides such as sulfamethoxazole may be used as an alternative regimen at a total daily dosage of 2-4 grams. Response to therapy is slow and may take months. Hyperbaric oxygen therapy may also be used as an adjunct to conventional therapy when the disease process is refractory to antibiotics and surgical treatment."
Actinomycosis,"Actinomyces bacteria are generally sensitive to penicillin, which is frequently used to treat actinomycosis. In cases of penicillin allergy, doxycyclin is used. Sulfonamides such as sulfamethoxazole may be used as an alternative regimen at a total daily dosage of 2-4 grams. Response to therapy is slow and may take months. Hyperbaric oxygen therapy may also be used as an adjunct to conventional therapy when the disease process is refractory to antibiotics and surgical treatment."
African sleeping sickness (African trypanosomiasis),"First stage: The current treatment for first-stage disease is intravenous or intramuscular pentamidine for T. b. gambiense or intravenous suramin for T. b. rhodesiense. Second stage: For T. b. gambiense the combination of nifurtimox and eflornithine (NECT) or eflornithine alone appear to be more effective and result in fewer side effects. These treatments may replace melarsoprol when available with the combination being first line. NECT has the benefit of requiring less injections of eflornithine. Intravenous melarsoprol was previously the standard treatment for second-stage (neurological phase) disease and is effective for both types. Melarsoprol is the only treatment for second stage T. b. rhodesiense; however, it causes death in 5% of people who take it. Resistance to melarsoprol can occur."
AIDS (Acquired immunodeficiency syndrome),There is currently no cure or effective HIV vaccine. Treatment consists of highly active antiretroviral therapy (HAART) which slows progression of the disease.
Amebiasis,"E. histolytica infections occur in both the intestine and (in people with symptoms) in tissue of the intestine and/or liver. As a result, two different classes of drugs are needed to treat the infection, one for each location. Such anti-amoebic drugs are known as amoebicides."
Anaplasmosis,Treatment usually involves a prescription of doxycycline or a similar class of antibiotics. Oxytetracycline and imidocarb have also been shown to be effective. Supportive therapy such as blood products and fluids may be necessary.
Angiostrongyliasis,"Treatment of angiostrongyliasis is not well defined, but most strategies include a combination of anti - parasitics to kill the worms, steroids to limit inflammation as the worms die, and pain medication to manage the symptoms of meningitis."
Anisakiasis,"For the worm, humans are a dead-end host. Anisakis and Pseudoterranova larvae cannot survive in humans, and will eventually die. In some cases, the infection will resolve with only symptomatic treatment. In other cases, however, infection can lead to small bowel obstruction, which may require surgery, although treatment with albendazole alone (avoiding surgery) has been reported to be successful. Intestinal perforation (an emergency) is also possible."
Anthrax,"Early antibiotic treatment of anthrax is essential; delay significantly lessens chances for survival.Treatment for anthrax infection and other bacterial infections includes large doses of intravenous and oral antibiotics, such as fluoroquinolones (ciprofloxacin), doxycycline, erythromycin, vancomycin, or penicillin. FDA-approved agents include ciprofloxacin, doxycycline, and penicillin."
