8478,actinomycosis,Actinomycosis,"Actinomyces bacteria are generally sensitive to penicillin, which is frequently used to treat actinomycosis. In cases of penicillin allergy, doxycyclin is used. Sulfonamides such as sulfamethoxazole may be used as an alternative regimen at a total daily dosage of 2-4 grams. Response to therapy is slow and may take months. Hyperbaric oxygen therapy may also be used as an adjunct to conventional therapy when the disease process is refractory to antibiotics and surgical treatment."
635,acquired immunodeficiency syndrome,AIDS (Acquired immunodeficiency syndrome),There is currently no cure or effective HIV vaccine. Treatment consists of highly active antiretroviral therapy (HAART) which slows progression of the disease.
9181,amebiasis,Amebiasis,"E. histolytica infections occur in both the intestine and (in people with symptoms) in tissue of the intestine and/or liver. As a result, two different classes of drugs are needed to treat the infection, one for each location. Such anti-amoebic drugs are known as amoebicides."
50256,angiostrongyliasis,Angiostrongyliasis,"Treatment of angiostrongyliasis is not well defined, but most strategies include a combination of anti - parasitics to kill the worms, steroids to limit inflammation as the worms die, and pain medication to manage the symptoms of meningitis."
7033,anisakiasis,Anisakiasis,"For the worm, humans are a dead-end host. Anisakis and Pseudoterranova larvae cannot survive in humans, and will eventually die. In some cases, the infection will resolve with only symptomatic treatment. In other cases, however, infection can lead to small bowel obstruction, which may require surgery, although treatment with albendazole alone (avoiding surgery) has been reported to be successful. Intestinal perforation (an emergency) is also possible."
7427,anthrax disease,Anthrax,"Early antibiotic treatment of anthrax is essential; delay significantly lessens chances for survival.Treatment for anthrax infection and other bacterial infections includes large doses of intravenous and oral antibiotics, such as fluoroquinolones (ciprofloxacin), doxycycline, erythromycin, vancomycin, or penicillin. FDA-approved agents include ciprofloxacin, doxycycline, and penicillin."
50194,Argentine hemorrhagic fever,Argentine hemorrhagic fever,"The Candid #1 vaccine for AHF was created in 1985 by Argentine virologist Dr. Julio Barrera Oro. The vaccine was manufactured by the Salk Institute in the United States, and became available in Argentina in 1990. Candid #1 has been applied to adult high-risk population and is 95.5% effective."
456,ascariasis,Ascariasis,"Medications that are used to kill roundworms are called ascaricides. Those recommended by the World Health Organization for ascariasis are: albendazole, mebendazole, levamisole and pyrantel pamoate.Other effective agents include tribendimidine and nitazoxanide.Pyrantel pamoate may induce intestinal obstruction in a heavy worm load. Albendazole is contraindicated during pregnancy and children under two years of age. Thiabendazole may cause migration of the worm into the esophagus, so it is usually combined with piperazine. Piperazine is a flaccid paralyzing agent that blocks the response of ascaris muscle to acetylcholine, which immobilizes the worm. It prevents migration when treatment is accomplished with weak drugs such as thiabendazole. If used by itself, it causes the worm to be passed out in the feces, and may be used when worms have caused blockage of the intestine or the biliary duct. Corticosteroids can treat some of the symptoms, such as inflammation. In some cases with severe infestation the worms may cause bowel obstruction, requiring emergency surgery. The bowel obstruction may be due to all the worms or twisting of the bowel. During the surgery the worms may be manually removed."
13564,aspergillosis,Aspergillosis,"The current medical treatments for aggressive invasive Aspergillosis include voriconazole and liposomal amphotericin B in combination with surgical debridement. For the less aggressive allergic bronchopulmonary aspergillosis findings suggest the use of oral steroids for a prolonged period of time, preferably for 6每9 months in allergic aspergillosis of the lungs. Itraconazole is given with the steroids, as it is considered to have a ""steroid sparing"" effect, causing the steroids to be more effective, allowing a lower dose. Other drugs used, such as amphotericin B, caspofungin (in combination therapy only), flucytosine (in combination therapy only), or itraconazole, are used to treat this fungal infection. However, a growing proportion of infections are resistant to the triazoles. A. fumigatus, the most commonly infecting species, is intrinsically resistant to fluconazole."
9643,babesiosis,Babesiosis,"In mild-to-moderate babesiosis, the treatment of choice is a combination of atovaquone and azithromycin. This regimen is preferred to clindamycin and quinine because side effects are fewer. The standard course is 7 to 10 days, but this is extended to at least 6 weeks in people with relapsing disease. Even mild cases are recommended to be treated to decrease the chance of inadvertently transmitting the infection by donating blood. In life-threatening cases, exchange transfusion is performed. In this procedure, the infected red blood cells are removed and replaced with uninfected ones. Imizol is a drug used for treatment of babesiosis in dogs. Extracts of the poisonous, bulbous plant Boophone disticha are used in the folk medicine of South Africa to treat equine babesiosis. B. disticha is a member of the daffodil family Amaryllidaceae and has also been used in preparations employed as arrow poisons, hallucinogens, and in embalming. The plant is rich in alkaloids, some of which display an action similar to that of scopolamine."
12386,balantidiasis,Balantidiasis,"Balantidiasis can be treated with tetracycline, carbarsone, metronidazole, or diiodohydroxyquin."
11102,bartonellosis,Bartonellosis,Cat-scratch disease: Adults(Azithromycin + Rifampin); Retinitis:
12711,black piedra,Black piedra,Terbinafine has been used in the treatment.
12663,blastomycosis,Blastomycosis,"Itraconazole given orally is the treatment of choice for most forms of the disease. Ketoconazole may also be used. Cure rates are high, and the treatment over a period of months is usually well tolerated. Amphotericin B is considerably more toxic, and is usually reserved for immunocompromised patients who are critically ill and those with central nervous system disease. Patients who cannot tolerate deoxycholate formulation of Amphotericin B can be given lipid formulations. Fluconazole has excellent CNS penetration and is useful where there is CNS involvement after initial treatment with Amphotericin B."
50195,Bolivian hemorrhagic fever,Bolivian hemorrhagic fever,"Measures to reduce contact between the vesper mouse and humans may have contributed to limiting the number of outbreaks, with no cases identified between 1973 and 1994. Although there are no cures or vaccine for the disease, a vaccine developed for the genetically related Jun赤n virus which causes Argentine hemorrhagic fever has shown evidence of cross-reactivity to Machupo virus, and may therefore be an effective prophylactic measure for people at high risk of infection. Post infection (and providing that the person survives the infection), those that have contracted BHF are usually immune to further infection of the disease."
11077,brucellosis,Brucellosis,"Antibiotics such as tetracyclines, rifampicin, and the aminoglycosides streptomycin and gentamicin are effective against Brucella bacteria. However, the use of more than one antibiotic is needed for several weeks, because the bacteria incubate within cells. The gold standard treatment for adults is daily intramuscular injections of streptomycin 1 g for 14 days and oral doxycycline 100 mg twice daily for 45 days (concurrently). Gentamicin 5 mg/kg by intramuscular injection once daily for seven days is an acceptable substitute when streptomycin is not available or contraindicated. Another widely used regimen is doxycycline plus rifampin twice daily for at least six weeks. This regimen has the advantage of oral administration. A triple therapy of doxycycline, with rifampin and co-trimoxazole, has been used successfully to treat neurobrucellosis. Doxycycline is able to cross the blood每brain barrier, but requires the addition of two other drugs to prevent relapse. Ciprofloxacin and co-trimoxazole therapy is associated with an unacceptably high rate of relapse. In brucellic endocarditis, surgery is required for an optimal outcome. Even with optimal antibrucellic therapy, relapses still occur in 5 to 10% of patients with Malta fever. The main way of preventing brucellosis is by using fastidious hygiene in producing raw milk products, or by pasteurizing all milk that is to be ingested by human beings, either in its unaltered form or as a derivate, such as cheese. Co-trimoxazole and rifampin are both safe drugs to use in treatment of pregnant women who have brucellosis."
10773,bubonic plague,Bubonic plague,"Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1每15%, compared to a mortality of 40每60% in untreated cases. People potentially infected with the plague need immediate treatment and should be given antibiotics within 24 hours of the first symptoms to prevent death. Other treatments include oxygen, intravenous fluids, and respiratory support. People who have had contact with anyone infected by pneumonic plague are given prophylactic antibiotics. Using the broad-based antibiotic streptomycin has proven to be dramatically successful against the bubonic plague within 12 hours of infection."
50456,Buruli ulcer disease,Buruli ulcer,If treated early antibiotics for eight weeks are effective in 80% of people. This often includes the medications rifampicin and streptomycin. Clarithromycin or moxifloxacin are sometimes used instead of streptomycin. Treatment may also include cutting out the ulcer. This may be a minor operation and very successful if undertaken early. Advanced disease may require prolonged treatment with extensive skin grafting. Surgical practice can be dangerous in the developing countries where the disease is common.
13622,campylobacteriosis,Campylobacteriosis,"The infection is usually self-limiting, and in most cases, symptomatic treatment by liquid and electrolyte replacement is enough in human infections."
50398,Carrion&apos;s disease,Carrion's disease,"Because Carrion's disease is often comorbid with Salmonella infections, Chloramphenicol has historically been the treatment of choice. The drug of choice during the acute phase is Quinolones (such as ciprofloxacin) or Chloramphenicol in adults and Chloramphenicol plus beta lactams in children. Chloramphenicol is typically coupled with penicillin. Chloramphenicol-resistant B. bacilliformis has been observed. During the eruptive phase, in which chloramphenicol is not useful, azithromycin, erythromycin, and ciprofloxacin have been used successfully for treatment[8]. Rifampin or macrolides are also used to treat both adults and children. Because of the high rates of comorbid infections and conditions, multiple treatments are often required. These often include the use of corticosteroids for respiratory distress, red blood cell tranfusions for anemia, pericardiectomies for pericardial tamponades, and other standard treatments."
11258,cat-scratch disease,Cat-scratch disease,"Most healthy people clear the infection without treatment, but in 5 to 14 percent of individuals, the organisms disseminate and infect the liver, spleen, eye, or central nervous system. Although some experts recommend not treating typical CSD in immunocompetent patients with mild to moderate illness, treatment of all patients with antimicrobial agents (Grade 2B) is suggested due to the probability of disseminated disease. The preferred antibiotic for treatment is azithromycin since this agent is the only one studied in a randomized controlled study. Azithromycin is preferentially used in pregnancy to avoid the teratogenic side effects of doxycycline. However, doxycycline is preferred to treat B. henselae infections with optic neuritis due to its ability to adequately penetrate the tissues of the eye and central nervous system."
13778,chancroid,Chancroid,"The CDC recommendation for chancroid is a single oral dose (1 gram) of azithromycin, or a single IM dose of ceftriaxone, or oral erythromycin for seven days. H. ducreyi is resistant to sulfonamides, tetracyclines, penicillins, chloramphenicol, ciprofloxacin, ofloxacin, trimethoprim and aminoglycosides. Recently, several erythromycin resistant isolates have been reported. Treatment failure is possible with HIV co-infection and extended therapy is sometimes required."
8659,chickenpox,Chickenpox,"Treatment mainly consists of easing the symptoms. As a protective measure, people are usually required to stay at home while they are infectious to avoid spreading the disease to others. Cutting the nails short or wearing gloves may prevent scratching and minimize the risk of secondary infections. Paracetamol (acetaminophen) but not aspirin may be used to reduce fever. Aspirin use by someone with chickenpox may cause the serious, sometimes fatal disease of the liver and brain, Reye syndrome. People at risk of developing severe complications who have had significant exposure to the virus may be given intra-muscular varicella zoster immune globulin (VZIG), a preparation containing high titres of antibodies to varicella zoster virus, to ward off the disease. Antivirals are sometimes used. Although there have been no formal clinical studies evaluating the effectiveness of topical application of calamine lotion (a topical barrier preparation containing zinc oxide, and one of the most commonly used interventions), it has an excellent safety profile. It is important to maintain good hygiene and daily cleaning of skin with warm water to avoid secondary bacterial infection. Scratching may also increase the risk of secondary infection."
50012,chikungunya,Chikungunya,"Currently, no specific treatment for chikungunya is available. Supportive care is recommended, and symptomatic treatment of fever and joint swelling includes the use of nonsteroidal anti-inflammatory drugs such as naproxen, non-aspirin analgesics such as paracetamol (acetaminophen) and fluids. Aspirin is not recommended due to the increased risk of bleeding. Despite anti-inflammatory effects, corticosteroids are not recommended during the acute phase of disease, as they may cause immunosuppression and worsen infection. Passive immunotherapy has potential benefit in treatment of chikungunya. Studies in animals using passive immunotherapy have been effective, and clinical studies using passive immunotherapy in those particularly vulnerable to severe infection are currently in progress. Passive immunotherapy involves administration of anti-CHIKV hyperimmune human intravenous antibodies (immunoglobulins) to those exposed to a high risk of chikungunya infection. No antiviral treatment for chikungunya virus is currently available, though testing has shown several medications to be effective in vitro."
11263,chlamydia,Chlamydia,"C. trachomatis infection can be effectively cured with antibiotics. Guidelines recommend azithromycin, doxycycline, erythromycin, levofloxacin or ofloxacin. Agents recommended during pregnancy include erythromycin or amoxicillin. An option for treating sexual partners of those with chlamydia or gonorrhea include patient-delivered partner therapy (PDT or PDPT), which is the practice of treating the sex partners of index cases by providing prescriptions or medications to the patient to take to his/her partner without the health care provider first examining the partner. Following treatment people should be tested again after three months to check for re infection."
1498,cholera,Cholera,"Antibiotic treatments for one to three days shorten the course of the disease and reduce the severity of the symptoms. Use of antibiotics also reduces fluid requirements. People will recover without them, however, if sufficient hydration is maintained. The World Health Organization only recommends antibiotics in those with severe dehydration. Doxycycline is typically used first line, although some strains of V. cholerae have shown resistance. Testing for resistance during an outbreak can help determine appropriate future choices. Other antibiotics proven to be effective include cotrimoxazole, erythromycin, tetracycline, chloramphenicol, and furazolidone. Fluoroquinolones, such as ciprofloxacin, also may be used, but resistance has been reported. Antibiotics improve outcomes in those who are both severely and not severely dehydrated. Azithromycin and tetracycline may work better than doxycycline or ciprofloxacin."
1562,chromoblastomycosis,Chromoblastomycosis,"Chromoblastomycosis is very difficult to cure. The primary treatments of choice are: Itraconazole, an antifungal azole, is given orally, with or without flucytosine. Alternatively, cryosurgery with liquid nitrogen has also been shown to be effective. Other treatment options are the antifungal drug terbinafine, an experimental drug posaconazole, and heat therapy. Antibiotics may be used to treat bacterial superinfections. Amphotericin B has also been used."
